num_idade;des_sexo;des_status_associado;des_segmento;des_subsegmento;des_nivel_risco;des_assoc_desde;n_de_produtos;resposta_nps
41;F;ATIVO;PF;PF III;ALTO 2;DE 6 A 10 ANOS;7;10
69;F;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 11 A 15 ANOS;6;10
42;F;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;10;10
64;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;5;10
19;M;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;6;7
49;M;ATIVO;PF;PF II;MÉDIO 1;ATÉ 12 MESES;4;10
40;M;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;9;10
40;F;ATIVO;AG;Familiar;BAIXO 2;A PARTIR DE 15 ANOS;8;7
42;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 11 A 15 ANOS;2;8
42;F;ATIVO;PF;PF IV;BAIXÍSSIMO;A PARTIR DE 15 ANOS;11;9
42;M;ATIVO;PF;PF IV;BAIXO 1;DE 3 A 5 ANOS;5;7
44;F;ATIVO;PF;PF I;MÉDIO 1;DE 6 A 10 ANOS;7;9
45;M;ATIVO;PF;PF II;MÉDIO 1;DE 1 A 2 ANOS;4;10
47;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;4;8
39;F;ATIVO;PF;PF II;ALTÍSSIMO;DE 3 A 5 ANOS;6;7
41;M;ATIVO;PF;PF III;MÉDIO 2;DE 3 A 5 ANOS;3;10
40;M;ATIVO;PF;PF I;BAIXO 1;DE 6 A 10 ANOS;8;10
41;M;ATIVO;PF;PF III;BAIXO 2;DE 3 A 5 ANOS;7;10
46;M;ATIVO;PF;PF IV;MÉDIO 2;DE 6 A 10 ANOS;2;7
41;M;ATIVO;PF;PF IV;BAIXO 1;DE 11 A 15 ANOS;3;10
47;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;2;10
40;F;ATIVO;PF;PF I;MÉDIO 1;DE 3 A 5 ANOS;6;10
54;F;ATIVO;PF;PF I;BAIXO 1;DE 3 A 5 ANOS;3;10
57;M;ATIVO;PF;PF III;BAIXO 2;DE 3 A 5 ANOS;7;10
42;M;ATIVO;PF;PF II;ALTO 1;DE 11 A 15 ANOS;4;10
47;F;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;4;8
42;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;4;10
55;M;ATIVO;PF;PF IV;BAIXO 1;ATÉ 12 MESES;3;10
41;M;ATIVO;AG;Familiar;BAIXÍSSIMO;A PARTIR DE 15 ANOS;8;10
40;M;ATIVO;PF;PF IV;BAIXÍSSIMO;A PARTIR DE 15 ANOS;17;10
40;M;ATIVO;PF;PF II;BAIXO 2;A PARTIR DE 15 ANOS;8;8
41;F;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;2;10
41;M;ATIVO;PF;PF II;MÉDIO 1;DE 6 A 10 ANOS;4;10
50;M;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;10;10
44;M;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;6;10
45;F;ATIVO;PF;PF I;BAIXO 1;A PARTIR DE 15 ANOS;3;10
48;M;ATIVO;PF;PF II;BAIXO 1;DE 11 A 15 ANOS;11;10
41;M;ATIVO;PF;PF IV;BAIXO 1;DE 11 A 15 ANOS;9;10
41;F;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;6;10
55;M;ATIVO;PF;PF IV;BAIXO 1;DE 3 A 5 ANOS;6;10
43;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;10;6
52;M;ATIVO;AG;Familiar;BAIXÍSSIMO;A PARTIR DE 15 ANOS;7;8
40;M;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;4;10
37;F;ATIVO;PF;PF II;MÉDIO 2;DE 1 A 2 ANOS;3;8
40;F;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;3;10
83;M;ATIVO;AG;Familiar;BAIXO 2;DE 3 A 5 ANOS;7;10
49;F;ATIVO;PF;PF I;MÉDIO 1;DE 3 A 5 ANOS;7;10
29;F;ATIVO;PF;PF III;ALTO 2;DE 1 A 2 ANOS;6;10
42;M;ATIVO;PF;PF II;BAIXO 1;DE 11 A 15 ANOS;8;10
42;F;ATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;4;5
42;M;ATIVO;AG;Familiar;BAIXO 2;DE 11 A 15 ANOS;3;10
40;M;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;8;10
34;M;ATIVO;PF;PF IV;BAIXO 1;DE 6 A 10 ANOS;9;8
46;M;ATIVO;PF;PF II;BAIXÍSSIMO;DE 6 A 10 ANOS;11;10
47;M;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;8;10
42;M;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;4;9
35;F;ATIVO;PF;PF II;MÉDIO 1;ATÉ 12 MESES;1;9
58;F;ATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;2;10
40;F;ATIVO;PF;PF III;BAIXÍSSIMO;DE 11 A 15 ANOS;6;10
42;F;ATIVO;PF;PF II;BAIXO 2;DE 11 A 15 ANOS;8;10
65;F;ATIVO;PF;PF I;BAIXO 1;DE 3 A 5 ANOS;2;10
42;M;ATIVO;PF;PF III;BAIXÍSSIMO;A PARTIR DE 15 ANOS;9;10
44;F;ATIVO;AG;Familiar;BAIXO 1;DE 1 A 2 ANOS;6;10
50;F;ATIVO;PF;PF I;BAIXO 2;DE 6 A 10 ANOS;5;10
58;F;ATIVO;PF;PF I;BAIXÍSSIMO;A PARTIR DE 15 ANOS;5;10
44;F;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 6 A 10 ANOS;5;10
43;F;ATIVO;PF;PF III;ALTO 2;DE 11 A 15 ANOS;2;1
46;M;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 11 A 15 ANOS;9;10
42;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 11 A 15 ANOS;6;9
78;F;ATIVO;PF;PF III;BAIXO 1;A PARTIR DE 15 ANOS;3;10
40;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 6 A 10 ANOS;9;9
43;F;ATIVO;PF;PF III;BAIXO 1;ATÉ 12 MESES;8;10
41;M;ATIVO;PF;PF III;MÉDIO 1;DE 1 A 2 ANOS;6;10
42;F;ATIVO;PF;PF I;BAIXO 1;A PARTIR DE 15 ANOS;8;10
43;M;ATIVO;PF;PF II;BAIXO 2;ATÉ 12 MESES;10;9
46;F;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;0;10
30;M;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;4;1
40;F;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;6;10
34;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;3;7
43;M;ATIVO;PF;PF II;BAIXO 2;ATÉ 12 MESES;6;9
41;M;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 3 A 5 ANOS;9;10
40;M;ATIVO;PF;PF IV;BAIXO 1;ATÉ 12 MESES;4;10
44;M;ATIVO;AG;Familiar;BAIXO 1;DE 3 A 5 ANOS;1;0
45;F;ATIVO;PF;PF II;BAIXÍSSIMO;DE 11 A 15 ANOS;7;10
43;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 11 A 15 ANOS;7;10
42;F;ATIVO;PF;PF III;BAIXÍSSIMO;DE 3 A 5 ANOS;6;7
41;F;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;2;7
68;M;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;4;10
40;F;ATIVO;PF;PF I;BAIXO 2;DE 11 A 15 ANOS;2;10
65;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;2;10
40;F;ATIVO;PF;PF II;ALTO 1;DE 1 A 2 ANOS;4;8
45;M;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 11 A 15 ANOS;9;10
41;F;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;6;8
37;M;ATIVO;AG;Familiar;BAIXÍSSIMO;A PARTIR DE 15 ANOS;8;10
65;F;ATIVO;PF;PF I;BAIXÍSSIMO;DE 6 A 10 ANOS;6;10
47;M;ATIVO;AG;Familiar;BAIXÍSSIMO;ATÉ 12 MESES;6;10
43;M;ATIVO;PF;PF III;MÉDIO 2;DE 3 A 5 ANOS;6;9
78;M;ATIVO;AG;Familiar;MÉDIO 1;ATÉ 12 MESES;0;10
35;M;ATIVO;PF;PF I;ALTO 2;DE 3 A 5 ANOS;4;10
44;M;ATIVO;PF;PF III;ALTO 2;DE 6 A 10 ANOS;8;10
46;F;INATIVO;PF;PF III;BAIXO 1;DE 1 A 2 ANOS;2;10
39;M;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;2;10
48;F;ATIVO;AG;Familiar;ALTO 1;A PARTIR DE 15 ANOS;1;8
57;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;4;10
41;M;ATIVO;PF;PF II;ALTO 2;DE 11 A 15 ANOS;4;9
45;F;ATIVO;PF;PF II;MÉDIO 2;DE 1 A 2 ANOS;5;10
40;M;ATIVO;AG;Familiar;MÉDIO 1;A PARTIR DE 15 ANOS;1;5
41;M;ATIVO;PF;PF III;MÉDIO 2;DE 3 A 5 ANOS;7;9
59;F;ATIVO;AG;Familiar;BAIXO 1;DE 11 A 15 ANOS;2;10
39;M;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;6;9
36;F;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;0;10
53;M;ATIVO;PF;PF III;BAIXO 1;DE 3 A 5 ANOS;6;10
39;F;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;6;10
46;M;ATIVO;PF;PF III;BAIXO 1;ATÉ 12 MESES;3;10
40;F;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;0;10
40;M;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;5;10
46;F;ATIVO;PF;PF III;BAIXO 1;ATÉ 12 MESES;5;10
44;M;ATIVO;PF;PF II;DEFAULT;DE 6 A 10 ANOS;4;10
45;F;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;3;10
39;M;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;8;10
39;M;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;2;10
34;M;ATIVO;PF;PF III;BAIXO 2;DE 6 A 10 ANOS;4;8
39;M;ATIVO;PF;PF II;MÉDIO 1;DE 1 A 2 ANOS;4;10
44;M;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;6;9
39;F;ATIVO;PF;PF II;ALTO 1;DE 11 A 15 ANOS;6;8
41;F;ATIVO;AG;Familiar;BAIXO 2;ATÉ 12 MESES;3;10
39;M;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 11 A 15 ANOS;9;10
41;F;ATIVO;PF;PF I;BAIXO 1;DE 1 A 2 ANOS;2;10
34;M;ATIVO;AG;Familiar;BAIXO 1;ATÉ 12 MESES;3;10
50;F;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;1;10
40;F;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;6;10
40;F;ATIVO;PF;PF II;MÉDIO 1;DE 3 A 5 ANOS;4;10
52;F;ATIVO;PF;PF III;BAIXÍSSIMO;A PARTIR DE 15 ANOS;9;7
44;F;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;8;10
39;M;ATIVO;AG;Familiar;MÉDIO 1;DE 3 A 5 ANOS;5;8
38;F;ATIVO;PF;PF III;BAIXO 1;DE 3 A 5 ANOS;7;10
37;M;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;10;10
33;M;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 6 A 10 ANOS;10;5
46;F;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;3;10
42;F;ATIVO;PF;PF II;ALTO 2;DE 1 A 2 ANOS;1;10
44;M;ATIVO;PF;PF I;BAIXO 1;DE 3 A 5 ANOS;4;9
37;F;ATIVO;PF;PF II;ALTO 2;DE 3 A 5 ANOS;6;10
42;M;ATIVO;PF;PF III;BAIXO 1;A PARTIR DE 15 ANOS;8;10
47;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 6 A 10 ANOS;7;10
46;M;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;6;9
41;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 6 A 10 ANOS;11;9
39;M;ATIVO;PF;PF III;BAIXO 2;DE 6 A 10 ANOS;9;10
41;F;ATIVO;PF;PF I;BAIXO 2;A PARTIR DE 15 ANOS;5;10
41;M;ATIVO;PF;PF II;MÉDIO 1;DE 6 A 10 ANOS;8;10
38;M;ATIVO;PF;PF II;MÉDIO 1;ATÉ 12 MESES;6;10
40;M;ATIVO;PF;PF IV;BAIXO 2;DE 3 A 5 ANOS;12;8
41;M;ATIVO;PF;PF II;BAIXO 1;DE 1 A 2 ANOS;4;10
50;M;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;7;10
40;F;ATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;4;8
44;F;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;6;8
41;M;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;6;10
47;M;ATIVO;PF;PF II;BAIXO 1;A PARTIR DE 15 ANOS;5;10
43;M;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 11 A 15 ANOS;8;10
43;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;8;0
38;F;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;6;9
32;F;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;2;8
46;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 3 A 5 ANOS;7;10
55;M;ATIVO;PF;PF IV;BAIXO 2;ATÉ 12 MESES;4;10
33;M;ATIVO;PF;PF III;ALTO 2;ATÉ 12 MESES;4;9
41;F;ATIVO;PF;PF I;DEFAULT;DE 6 A 10 ANOS;1;10
54;F;ATIVO;PF;PF I;BAIXO 1;DE 3 A 5 ANOS;3;7
43;M;ATIVO;PF;PF IV;BAIXO 2;DE 1 A 2 ANOS;8;10
29;M;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;7;10
65;F;ATIVO;PF;PF II;BAIXÍSSIMO;DE 6 A 10 ANOS;3;10
28;F;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;3;8
35;M;INATIVO;PF;PF III;MÉDIO 1;DE 3 A 5 ANOS;0;8
30;F;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;4;10
41;M;ATIVO;PF;PF IV;BAIXO 1;ATÉ 12 MESES;6;10
34;F;ATIVO;PF;PF II;DEFAULT;DE 11 A 15 ANOS;5;10
40;F;ATIVO;AG;Familiar;BAIXO 1;A PARTIR DE 15 ANOS;9;10
40;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 6 A 10 ANOS;5;10
43;M;ATIVO;AG;Familiar;BAIXO 1;A PARTIR DE 15 ANOS;4;10
40;M;ATIVO;AG;Familiar;BAIXÍSSIMO;A PARTIR DE 15 ANOS;5;10
40;M;ATIVO;PF;PF III;BAIXÍSSIMO;A PARTIR DE 15 ANOS;13;8
41;M;ATIVO;PF;PF IV;BAIXÍSSIMO;A PARTIR DE 15 ANOS;3;7
45;M;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;7;10
39;M;ATIVO;AG;Familiar;BAIXO 1;DE 3 A 5 ANOS;7;10
37;M;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;1;10
40;F;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;8;10
44;F;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;6;10
39;F;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;1;0
39;M;ATIVO;PF;PF II;BAIXO 1;DE 6 A 10 ANOS;9;9
40;F;ATIVO;PF;PF III;MÉDIO 2;DE 3 A 5 ANOS;7;10
51;M;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;1;5
39;M;ATIVO;PF;PF II;BAIXO 2;DE 11 A 15 ANOS;5;9
38;F;ATIVO;PF;PF I;BAIXÍSSIMO;DE 6 A 10 ANOS;7;8
36;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;2;9
39;F;ATIVO;PF;PF I;MÉDIO 2;DE 11 A 15 ANOS;8;10
42;M;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;6;10
52;F;INATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;0;10
39;M;ATIVO;AG;Médio Produtor;BAIXO 2;DE 3 A 5 ANOS;8;9
38;M;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;8;8
49;F;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;5;10
40;F;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;4;10
33;M;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;5;5
35;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;2;10
43;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 3 A 5 ANOS;1;7
38;M;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;7;10
42;M;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;5;10
44;F;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;6;10
42;M;ATIVO;PF;PF III;ALTÍSSIMO;DE 3 A 5 ANOS;1;5
41;F;ATIVO;PF;PF III;ALTO 1;DE 1 A 2 ANOS;2;6
38;F;ATIVO;PF;PF III;BAIXO 1;DE 11 A 15 ANOS;12;9
26;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;4;10
46;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 11 A 15 ANOS;11;10
40;F;ATIVO;AG;Familiar;BAIXO 2;DE 11 A 15 ANOS;9;10
42;F;ATIVO;PF;PF II;BAIXÍSSIMO;DE 3 A 5 ANOS;7;10
44;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 3 A 5 ANOS;2;10
40;F;ATIVO;PF;PF II;ALTÍSSIMO;DE 1 A 2 ANOS;6;10
40;M;ATIVO;PF;PF III;ALTO 2;ATÉ 12 MESES;2;8
39;M;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;6;10
39;M;ATIVO;PF;PF IV;BAIXO 2;DE 3 A 5 ANOS;3;10
42;F;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;4;10
35;M;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;4;9
38;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;1;10
39;F;ATIVO;PF;PF III;BAIXO 1;ATÉ 12 MESES;6;10
38;F;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;2;8
46;F;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;4;10
39;M;ATIVO;PF;PF II;MÉDIO 1;DE 3 A 5 ANOS;3;10
45;M;ATIVO;PF;PF I;BAIXO 2;DE 6 A 10 ANOS;9;10
40;F;ATIVO;PF;PF III;BAIXO 2;DE 3 A 5 ANOS;4;8
38;M;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;8;10
45;F;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;5;10
