num_idade;des_sexo;des_status_associado;des_segmento;des_subsegmento;des_nivel_risco;des_assoc_desde;n_de_produtos;resposta_nps;classificacao_nps;faixa_idade;faixa_produtos;Assunto;Sentimento
38;F;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;5;2;DETRATORES;36-45;5-9;Benefícios;negativo
37;M;ATIVO;AG;Familiar;BAIXO 1;A PARTIR DE 15 ANOS;12;5;DETRATORES;36-45;10-14;Tempo ou Agilidade atendimento;positivo
37;F;ATIVO;PF;PF II;BAIXO 2;DE 3 A 5 ANOS;6;2;DETRATORES;36-45;5-9;Retorno solicitações;negativo
38;F;ATIVO;PF;PF II;ALTO 2;DE 3 A 5 ANOS;7;0;DETRATORES;36-45;5-9;Atendimento em geral;negativo
34;F;ATIVO;PF;PF II;ALTO 1;DE 3 A 5 ANOS;4;4;DETRATORES;25-35;1-4;Rentabilidade;negativo
37;F;ATIVO;PF;PF I;BAIXO 2;DE 11 A 15 ANOS;9;6;DETRATORES;36-45;5-9;Funcionamento App;negativo
31;M;ATIVO;PF;PF III;ALTO 2;ATÉ 12 MESES;4;5;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;negativo
52;F;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;3;3;DETRATORES;46-55;1-4;Cartão de Crédito;neutro
18;F;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;3;5;DETRATORES;<25;1-4;Outros;neutro
56;M;INATIVO;PF;PF II;ALTÍSSIMO;ATÉ 12 MESES;1;2;DETRATORES;56-70;1-4;Outros;neutro
37;M;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;5;3;DETRATORES;36-45;5-9;Crédito, Empréstimo ou Financiamento;negativo
41;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 3 A 5 ANOS;5;5;DETRATORES;36-45;5-9;Cartão de Crédito;negativo
34;M;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;4;0;DETRATORES;25-35;1-4;Retorno solicitações;negativo
37;F;ATIVO;PF;PF IV;MÉDIO 2;ATÉ 12 MESES;4;5;DETRATORES;36-45;1-4;Cartão de Crédito;negativo
35;F;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;1;5;DETRATORES;36-45;1-4;Cartão de Crédito;negativo
26;M;ATIVO;PF;PF I;ALTO 2;DE 3 A 5 ANOS;2;1;DETRATORES;25-35;1-4;Facilidade ou Burocracia;negativo
33;F;ATIVO;PF;PF I;MÉDIO 2;DE 6 A 10 ANOS;8;6;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;negativo
39;M;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;5;3;DETRATORES;36-45;5-9;Crédito, Empréstimo ou Financiamento;positivo
67;F;ATIVO;PF;PF III;BAIXO 1;ATÉ 12 MESES;4;0;DETRATORES;56-70;1-4;Conta Corrente ou Poupança;negativo
34;F;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;2;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
38;F;ATIVO;AG;Familiar;BAIXO 2;DE 11 A 15 ANOS;10;5;DETRATORES;36-45;10-14;Tempo ou Agilidade atendimento;positivo
30;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 6 A 10 ANOS;5;3;DETRATORES;25-35;5-9;Assertividade ou Orientação;neutro
34;M;ATIVO;PF;PF III;MÉDIO 2;ATÉ 12 MESES;4;6;DETRATORES;25-35;1-4;Taxas e Tarifas;negativo
38;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;3;4;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;neutro
28;M;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;2;0;DETRATORES;25-35;1-4;Taxas e Tarifas;negativo
35;F;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;5;6;DETRATORES;36-45;5-9;Funcionalidades;negativo
49;M;ATIVO;PF;PF III;BAIXÍSSIMO;A PARTIR DE 15 ANOS;8;3;DETRATORES;46-55;5-9;Assertividade ou Orientação;negativo
47;M;ATIVO;PF;PF II;BAIXO 2;ATÉ 12 MESES;5;0;DETRATORES;46-55;5-9;Outros;neutro
38;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;2;3;DETRATORES;36-45;1-4;Facilidade ou Burocracia;negativo
28;F;ATIVO;PF;PF II;ALTO 1;ATÉ 12 MESES;2;5;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;negativo
31;M;ATIVO;PF;PF IV;MÉDIO 2;DE 3 A 5 ANOS;4;3;DETRATORES;25-35;1-4;Taxas e Tarifas;negativo
33;F;ATIVO;PF;PF III;BAIXO 2;DE 3 A 5 ANOS;5;0;DETRATORES;25-35;5-9;Atendimento em geral;neutro
36;M;ATIVO;PF;PF I;ALTO 1;DE 3 A 5 ANOS;3;6;DETRATORES;36-45;1-4;Benefícios;positivo
38;M;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;0;5;DETRATORES;36-45;0;Disponibilidade contato;negativo
27;M;ATIVO;PF;PF III;MÉDIO 2;DE 3 A 5 ANOS;7;5;DETRATORES;25-35;5-9;Funcionalidades;negativo
46;M;ATIVO;AG;Familiar;BAIXO 2;DE 6 A 10 ANOS;0;2;DETRATORES;46-55;0;Atendimento em geral;negativo
34;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 1 A 2 ANOS;6;2;DETRATORES;25-35;5-9;Cartão de Crédito;neutro
36;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 1 A 2 ANOS;1;3;DETRATORES;36-45;1-4;Principalidade;neutro
19;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;0;0;DETRATORES;<25;0;Crédito, Empréstimo ou Financiamento;positivo
47;M;ATIVO;PF;PF III;BAIXO 2;DE 6 A 10 ANOS;6;1;DETRATORES;46-55;5-9;Outros;positivo
33;F;ATIVO;AG;Familiar;BAIXO 1;DE 6 A 10 ANOS;10;5;DETRATORES;25-35;10-14;Atendimento em geral;neutro
28;M;ATIVO;PF;PF III;MÉDIO 1;DE 11 A 15 ANOS;6;5;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;positivo
33;F;ATIVO;PF;PF III;BAIXO 2;DE 3 A 5 ANOS;3;6;DETRATORES;25-35;1-4;Funcionamento App;negativo
33;F;ATIVO;PF;PF II;ALTO 2;DE 6 A 10 ANOS;3;2;DETRATORES;25-35;1-4;Cartão de Crédito;negativo
32;M;ATIVO;PF;PF II;ALTO 1;DE 3 A 5 ANOS;9;4;DETRATORES;25-35;5-9;Facilidade ou Burocracia;negativo
28;M;ATIVO;AG;Familiar;ALTO 1;A PARTIR DE 15 ANOS;1;0;DETRATORES;25-35;1-4;Disponibilidade contato;neutro
34;F;ATIVO;PF;PF III;BAIXÍSSIMO;DE 11 A 15 ANOS;7;0;DETRATORES;25-35;5-9;Taxas e Tarifas;negativo
29;F;ATIVO;PF;PF III;BAIXO 2;DE 6 A 10 ANOS;6;5;DETRATORES;25-35;5-9;Benefícios;negativo
36;M;ATIVO;PF;PF III;BAIXO 2;DE 3 A 5 ANOS;5;4;DETRATORES;36-45;5-9;Funcionalidades;positivo
32;F;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;5;0;DETRATORES;25-35;5-9;Outros;neutro
31;M;ATIVO;PF;PF II;BAIXO 1;DE 11 A 15 ANOS;10;5;DETRATORES;25-35;10-14;Crédito, Empréstimo ou Financiamento;neutro
36;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;7;1;DETRATORES;36-45;5-9;Crédito, Empréstimo ou Financiamento;negativo
44;M;ATIVO;PF;PF IV;BAIXO 1;A PARTIR DE 15 ANOS;4;4;DETRATORES;36-45;1-4;Taxas e Tarifas;negativo
31;M;ATIVO;PF;PF II;MÉDIO 1;DE 6 A 10 ANOS;2;0;DETRATORES;25-35;1-4;Atendimento em geral;neutro
37;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;4;1;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;negativo
32;F;ATIVO;AG;Familiar;BAIXO 1;ATÉ 12 MESES;8;5;DETRATORES;25-35;5-9;Assertividade ou Orientação;negativo
25;F;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;4;6;DETRATORES;25-35;1-4;Funcionalidades;negativo
28;F;ATIVO;PF;PF II;BAIXO 2;DE 3 A 5 ANOS;5;6;DETRATORES;25-35;5-9;Tempo ou Agilidade atendimento;negativo
33;M;ATIVO;PF;PF II;MÉDIO 1;DE 11 A 15 ANOS;5;5;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;neutro
27;M;ATIVO;AG;Familiar;BAIXO 2;DE 6 A 10 ANOS;5;1;DETRATORES;25-35;5-9;Facilidade ou Burocracia;positivo
24;M;ATIVO;PF;PF II;BAIXO 2;A PARTIR DE 15 ANOS;7;1;DETRATORES;<25;5-9;Crédito, Empréstimo ou Financiamento;negativo
37;F;ATIVO;PF;PF II;ALTÍSSIMO;DE 1 A 2 ANOS;2;0;DETRATORES;36-45;1-4;Segurança;positivo
26;M;ATIVO;PF;PF IV;ALTO 2;DE 1 A 2 ANOS;8;3;DETRATORES;25-35;5-9;Atendimento em geral;neutro
43;M;ATIVO;PF;PF III;MÉDIO 1;DE 11 A 15 ANOS;8;5;DETRATORES;36-45;5-9;Atendimento em geral;negativo
42;M;ATIVO;PF;PF IV;ALTÍSSIMO;DE 6 A 10 ANOS;4;1;DETRATORES;36-45;1-4;Assertividade ou Orientação;positivo
45;M;ATIVO;AG;Médio Produtor;BAIXO 2;ATÉ 12 MESES;4;6;DETRATORES;46-55;1-4;Tempo ou Agilidade atendimento;negativo
28;M;ATIVO;PF;PF II;ALTO 1;ATÉ 12 MESES;0;0;DETRATORES;25-35;0;Taxas e Tarifas;negativo
30;F;ATIVO;PF;PF III;DEFAULT;DE 11 A 15 ANOS;2;5;DETRATORES;25-35;1-4;Taxas e Tarifas;negativo
28;M;ATIVO;PF;PF II;ALTO 2;DE 1 A 2 ANOS;2;4;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
47;M;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 6 A 10 ANOS;8;0;DETRATORES;46-55;5-9;Retorno solicitações;negativo
32;M;ATIVO;PF;PF III;MÉDIO 2;DE 6 A 10 ANOS;1;4;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
31;M;ATIVO;AG;Familiar;BAIXO 2;DE 11 A 15 ANOS;4;5;DETRATORES;25-35;1-4;Outros;neutro
32;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;1;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;positivo
26;M;ATIVO;PF;PF I;MÉDIO 2;DE 11 A 15 ANOS;3;0;DETRATORES;25-35;1-4;Atendimento em geral;neutro
29;M;ATIVO;PF;PF II;ALTÍSSIMO;ATÉ 12 MESES;7;6;DETRATORES;25-35;5-9;Outros;negativo
31;F;ATIVO;PF;PF III;BAIXÍSSIMO;DE 6 A 10 ANOS;8;2;DETRATORES;25-35;5-9;Atendimento em geral;neutro
47;M;ATIVO;PF;PF I;BAIXO 2;DE 6 A 10 ANOS;4;5;DETRATORES;46-55;1-4;Rentabilidade;negativo
35;M;ATIVO;PF;PF III;BAIXO 2;DE 3 A 5 ANOS;8;4;DETRATORES;36-45;5-9;Taxas e Tarifas;positivo
25;F;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;2;5;DETRATORES;25-35;1-4;Funcionalidades;negativo
52;F;ATIVO;AG;Familiar;ALTO 2;A PARTIR DE 15 ANOS;6;2;DETRATORES;46-55;5-9;Outros;neutro
31;F;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;3;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;positivo
30;M;ATIVO;PF;PF I;BAIXO 2;DE 1 A 2 ANOS;7;0;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;negativo
43;F;ATIVO;PF;PF III;BAIXÍSSIMO;A PARTIR DE 15 ANOS;7;6;DETRATORES;36-45;5-9;Taxas e Tarifas;negativo
27;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;1;5;DETRATORES;25-35;1-4;Cartão de Crédito;neutro
20;M;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;2;6;DETRATORES;<25;1-4;Crédito, Empréstimo ou Financiamento;neutro
34;F;ATIVO;AG;Familiar;MÉDIO 1;DE 6 A 10 ANOS;7;5;DETRATORES;25-35;5-9;Benefícios da Cooperativa;positivo
28;F;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;7;5;DETRATORES;25-35;5-9;Benefícios da Cooperativa;positivo
26;F;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;3;6;DETRATORES;25-35;1-4;Cartão de Crédito;neutro
30;M;INATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;0;6;DETRATORES;25-35;0;Crédito, Empréstimo ou Financiamento;neutro
32;M;ATIVO;PF;PF III;MÉDIO 2;ATÉ 12 MESES;5;2;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;neutro
27;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;3;6;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
19;M;ATIVO;PF;PF I;BAIXO 2;DE 6 A 10 ANOS;2;3;DETRATORES;<25;1-4;Cordialidade;positivo
47;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 3 A 5 ANOS;6;3;DETRATORES;46-55;5-9;Troca de gerente;negativo
41;F;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;3;1;DETRATORES;36-45;1-4;Taxas e Tarifas;positivo
43;M;ATIVO;PF;PF II;BAIXÍSSIMO;DE 3 A 5 ANOS;4;2;DETRATORES;36-45;1-4;Pix;negativo
45;F;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;4;4;DETRATORES;46-55;1-4;Assertividade ou Orientação;negativo
19;F;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;1;0;DETRATORES;<25;1-4;Estrutura da Agência;neutro
42;M;ATIVO;PF;PF II;BAIXO 2;DE 11 A 15 ANOS;3;0;DETRATORES;36-45;1-4;Conta Corrente ou Poupança;negativo
34;F;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;5;3;DETRATORES;25-35;5-9;Atendimento em geral;negativo
44;M;ATIVO;AG;Familiar;MÉDIO 1;DE 6 A 10 ANOS;9;1;DETRATORES;36-45;5-9;Cordialidade;negativo
34;F;ATIVO;PF;PF II;BAIXO 1;DE 6 A 10 ANOS;6;6;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;negativo
32;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;2;6;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
40;M;ATIVO;PF;PF I;MÉDIO 2;DE 6 A 10 ANOS;1;1;DETRATORES;36-45;1-4;Conta Corrente ou Poupança;negativo
49;F;ATIVO;PF;PF IV;ALTO 2;DE 3 A 5 ANOS;2;0;DETRATORES;46-55;1-4;Atendimento em geral;negativo
25;M;ATIVO;PF;PF II;MÉDIO 2;DE 6 A 10 ANOS;4;5;DETRATORES;25-35;1-4;Funcionamento App;negativo
24;M;ATIVO;AG;Familiar;ALTO 2;DE 3 A 5 ANOS;1;2;DETRATORES;<25;1-4;Outros;neutro
30;M;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;4;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
33;M;ATIVO;PF;PF II;ALTO 1;DE 11 A 15 ANOS;1;0;DETRATORES;25-35;1-4;Benefícios da Cooperativa;positivo
72;F;ATIVO;PF;PF III;BAIXÍSSIMO;DE 6 A 10 ANOS;3;5;DETRATORES;70+;1-4;Outros;neutro
41;M;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;4;6;DETRATORES;36-45;1-4;Principalidade;negativo
29;M;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;6;5;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;neutro
64;M;ATIVO;PF;PF I;BAIXO 2;DE 11 A 15 ANOS;5;6;DETRATORES;56-70;5-9;Facilidade ou Burocracia;negativo
41;M;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 11 A 15 ANOS;4;5;DETRATORES;36-45;1-4;Confiabilidade da Coop;positivo
32;M;ATIVO;PF;PF I;ALTO 2;DE 6 A 10 ANOS;2;6;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
20;F;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;6;2;DETRATORES;<25;5-9;Taxas e Tarifas;negativo
24;F;ATIVO;PF;PF II;BAIXO 2;DE 3 A 5 ANOS;2;5;DETRATORES;<25;1-4;Cartão de Crédito;neutro
43;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;4;5;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;positivo
25;F;ATIVO;PF;PF I;BAIXO 1;DE 6 A 10 ANOS;6;6;DETRATORES;25-35;5-9;Atendimento em geral;neutro
25;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 3 A 5 ANOS;3;5;DETRATORES;25-35;1-4;Atendimento em geral;neutro
19;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;2;5;DETRATORES;<25;1-4;Outros;neutro
37;F;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;0;2;DETRATORES;36-45;0;Assertividade ou Orientação;negativo
31;M;INATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;0;1;DETRATORES;25-35;0;Crédito, Empréstimo ou Financiamento;neutro
31;F;ATIVO;PF;PF IV;MÉDIO 1;DE 6 A 10 ANOS;7;5;DETRATORES;25-35;5-9;Retorno solicitações;negativo
34;M;ATIVO;PF;PF I;BAIXO 2;DE 1 A 2 ANOS;5;5;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;negativo
38;F;INATIVO;PF;PF III;BAIXO 2;DE 6 A 10 ANOS;0;6;DETRATORES;36-45;0;Retorno solicitações;negativo
40;F;INATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;0;5;DETRATORES;36-45;0;Cartão de Crédito;negativo
44;M;ATIVO;PF;PF II;ALTO 2;DE 3 A 5 ANOS;3;0;DETRATORES;36-45;1-4;Assertividade ou Orientação;negativo
18;F;ATIVO;PF;PF I;MÉDIO 1;DE 3 A 5 ANOS;4;6;DETRATORES;<25;1-4;Funcionamento App;negativo
43;M;ATIVO;AG;Familiar;BAIXO 2;DE 3 A 5 ANOS;7;3;DETRATORES;36-45;5-9;Crédito, Empréstimo ou Financiamento;negativo
19;F;INATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;0;0;DETRATORES;<25;0;Facilidade ou Burocracia;positivo
31;F;ATIVO;PF;PF IV;MÉDIO 1;ATÉ 12 MESES;4;0;DETRATORES;25-35;1-4;Cartão de Crédito;negativo
41;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;1;0;DETRATORES;36-45;1-4;Cartão de Crédito;neutro
39;M;ATIVO;AG;Médio Produtor;MÉDIO 2;DE 6 A 10 ANOS;4;4;DETRATORES;36-45;1-4;Confiabilidade da Coop;negativo
28;F;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;4;2;DETRATORES;25-35;1-4;Principalidade;negativo
40;F;ATIVO;PF;PF III;BAIXO 2;DE 3 A 5 ANOS;4;2;DETRATORES;36-45;1-4;Disponibilidade contato;negativo
19;M;ATIVO;PF;PF I;MÉDIO 1;DE 3 A 5 ANOS;4;6;DETRATORES;<25;1-4;Funcionamento App;negativo
38;M;ATIVO;PF;PF I;BAIXO 1;DE 3 A 5 ANOS;3;0;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;neutro
30;F;ATIVO;AG;Familiar;BAIXO 1;DE 6 A 10 ANOS;10;1;DETRATORES;25-35;10-14;Confiabilidade da Coop;negativo
19;F;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;4;3;DETRATORES;<25;1-4;Funcionamento App;negativo
25;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;0;0;DETRATORES;25-35;0;Crédito, Empréstimo ou Financiamento;neutro
33;M;ATIVO;PF;PF I;;ATÉ 12 MESES;2;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
20;M;ATIVO;PF;PF II;ALTO 1;DE 3 A 5 ANOS;3;4;DETRATORES;<25;1-4;Cartão de Crédito;neutro
28;M;ATIVO;PF;PF I;MÉDIO 2;DE 6 A 10 ANOS;5;6;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;negativo
46;M;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;3;5;DETRATORES;46-55;1-4;Cartão de Crédito;neutro
39;M;ATIVO;PF;PF IV;MÉDIO 1;DE 6 A 10 ANOS;4;1;DETRATORES;36-45;1-4;Atendimento em geral;neutro
19;M;INATIVO;PF;PF I;MÉDIO 1;DE 1 A 2 ANOS;2;5;DETRATORES;<25;1-4;Atendimento em geral;neutro
36;M;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;3;6;DETRATORES;36-45;1-4;Cartão de Crédito;positivo
29;F;INATIVO;PF;PF I;ALTÍSSIMO;DE 1 A 2 ANOS;0;5;DETRATORES;25-35;0;Crédito, Empréstimo ou Financiamento;positivo
31;M;ATIVO;PF;PF II;BAIXO 2;DE 6 A 10 ANOS;3;0;DETRATORES;25-35;1-4;Benefícios;negativo
39;F;ATIVO;PF;PF III;ALTO 2;DE 11 A 15 ANOS;1;0;DETRATORES;36-45;1-4;Atendimento em geral;neutro
27;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;7;0;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;neutro
38;M;ATIVO;PF;PF III;BAIXO 1;DE 11 A 15 ANOS;4;3;DETRATORES;36-45;1-4;Principalidade;negativo
35;F;INATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;0;0;DETRATORES;36-45;0;Cartão de Crédito;neutro
23;M;ATIVO;PF;PF I;BAIXO 1;DE 3 A 5 ANOS;9;5;DETRATORES;<25;5-9;Funcionamento App;negativo
20;M;ATIVO;AG;Familiar;DEFAULT;DE 3 A 5 ANOS;1;3;DETRATORES;<25;1-4;Taxas e Tarifas;negativo
36;M;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;4;4;DETRATORES;36-45;1-4;Confiabilidade da Coop;negativo
39;M;INATIVO;PF;PF IV;BAIXO 2;DE 3 A 5 ANOS;1;4;DETRATORES;36-45;1-4;Funcionamento App;negativo
27;M;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;6;5;DETRATORES;25-35;5-9;Benefícios da Cooperativa;positivo
38;M;ATIVO;PF;PF II;MÉDIO 1;DE 3 A 5 ANOS;6;5;DETRATORES;36-45;5-9;Cartão de Crédito;negativo
20;F;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;3;0;DETRATORES;<25;1-4;Pix;negativo
18;F;ATIVO;PF;PF I;MÉDIO 1;DE 1 A 2 ANOS;5;6;DETRATORES;<25;5-9;Rentabilidade;negativo
19;F;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;1;6;DETRATORES;<25;1-4;Tempo ou Agilidade atendimento;negativo
36;M;ATIVO;PF;PF III;ALTÍSSIMO;DE 6 A 10 ANOS;5;3;DETRATORES;36-45;5-9;Crédito, Empréstimo ou Financiamento;neutro
